ISBN,Title,Quantity,Description,Authors,Publisher,Published,Pages,Language,Location,Date,
9780801049712,World Religions,1,"This masterful survey of world religions presents a clear and concise portrait of the history, beliefs, and practices of Eastern and Western religions. The new edition contains added material and has been revised throughout. The authors, both respected scholars of world religions, have over fifty years of combined teaching experience. Their book is accessibly written for introductory classes, can be easily adapted for one- or two-semester courses, and presents a neutral approach for broad classroom use. Pedagogical aids include further reading suggestions, photographs, sidebars, and pronunciation guides. An 800-question bank of multiple-choice test questions is available to professors through Baker Academic's Textbook eSources.","Thomas A. Robinson, Hillary P. Rodrigues",Baker Academic,2014-11-18,,English,Unknown,2024-06-24T14:03:29-06:00,
9780872204645,Nicomachean Ethics,1,This translation seeks to make Aristotle's terse and concentrated Greek fairly intelligible to those who read him in English. Those who want to read through the Ethics to grasp the main outlines of Aristotle's position need a translation that can be understood without detailed explanations.,Aristotle,Hackett Publishing Company Incorporated,1999-01-01,360,English,Unknown,2024-06-24T14:04:03-06:00,
9789350334980,Beyond Good & Evil,1,"Friedrich Nietzsche was an influential German philosopher whose works have been considered a source of inspiration for writers in the fields of psychology, philosophy, theology and literature. Beyond Good and Evil is an attempt by the renowned scholar to depict the frailty of the moral concepts adhered by the old philosophers. Through this groundbreaking work, Nietzsche inspires the philosophers of the future to be men of experiments. He advises them to celebrate the creative aspect of truth that appeals to the self and become critics rather than skeptics. The book is divided into 9 sections that include 296 aphorisms. Written in a critical and witty style, the novel throws light upon the diverse aspects of the modern world that include religion, morality, free spirit, power of the will, virtues and nobility.",Friedrich Nietzsche,Maple Press Pvt Limited,2019-09-25,,English,Unknown,2024-06-24T14:04:10-06:00,
9789388810968,Thus Spoke Zarathustra,1,"Many lands saw Zarathustra, and many peoples: no greater power did Zarathustra find on earth than the creations of the loving ones-- "" good"" and "" bad"" are their names.' After spending a decade in a cave on the mountains, the prophet Zarathustra comes down and begins talking to people. He believes that God is dead, and preaches about the Superman who has surpassed the notions of good and evil and embraced the idea of eternal recurrence. Reflecting on the Nietzschean philosophy, Zarathustra's sermons and discourses expound the concepts of will to power, the Ü bermensch (Superman), eternal return, radical perspectivism, problem of nihilism, and individualism among others. One of the most influential and popular works of Nietzsche, Thus Spoke Zarathustra was an inspiration for many. Intense and insightful, this philosophical novel remains a literary masterpiece.""",Friedrich Nietzsche,Fingerprint! Publishing,2019-01-04,,English,Unknown,2024-06-24T14:04:18-06:00,
9780071763011,Practice Makes Perfect German Vocabulary,1,"Master the words and phrases necessary for handling everyday situations Practice Makes Perfect: German Vocabulary helps you develop your vocabulary by providing practice in word-building and encouraging you to analyze new words for an ever-increasing vocabulary. Each chapter of this comprehensive book focuses on a theme, such as family or travel, so you can build your language skills in a systematic manner. As you lay the foundation for an increasing vocabulary, you are able to perfect your new words with plenty of exercises and gain the confidence to communicate well in German. Practice Makes Perfect: German Vocabulary offers you: More than 250 exercises Concise grammatical explanations A new chapter on contemporary vocabulary An answer key to gauge your comprehension With help from this book, you can easily speak or write in German about: Different occupations and jobs * German holidays and traditions * Taking the train * Growing your own garden * Where it hurts on your body * Your house * Your family and friends * What you studied in school * Your favorite TV show * Your family's background . . . and much more!",Ed Swick,McGraw Hill Professional,2011-08-18,222,English,Unknown,2024-06-24T14:04:34-06:00,
9781594632334,How to Get Filthy Rich in Rising Asia,1,"""Mr. Hamid reaffirms his place as one of his generation's most inventive and gifted writers."" –Michiko Kakutani, The New York Times ""A globalized version of The Great Gatsby . . . [Hamid's] book is nearly that good."" –Alan Cheuse, NPR ""Marvelous and moving."" –TIME Magazine From the internationally bestselling author of The Reluctant Fundamentalist and Exit West, the boldly imagined tale of a poor boy’s quest for wealth and love His first two novels established Mohsin Hamid as a radically inventive storyteller with his finger on the world’s pulse. How to Get Filthy Rich in Rising Asia meets that reputation—and exceeds it. The astonishing and riveting tale of a man’s journey from impoverished rural boy to corporate tycoon, it steals its shape from the business self-help books devoured by ambitious youths all over “rising Asia.” It follows its nameless hero to the sprawling metropolis where he begins to amass an empire built on that most fluid, and increasingly scarce, of goods: water. Yet his heart remains set on something else, on the pretty girl whose star rises along with his, their paths crossing and recrossing, a lifelong affair sparked and snuffed and sparked again by the forces that careen their fates along. How to Get Filthy Rich in Rising Asia is a striking slice of contemporary life at a time of crushing upheaval. Romantic without being sentimental, political without being didactic, and spiritual without being religious, it brings an unflinching gaze to the violence and hope it depicts. And it creates two unforgettable characters who find moments of transcendent intimacy in the midst of shattering change.",Mohsin Hamid,Penguin,2014-03-04,242,English,Unknown,2024-06-24T14:04:52-06:00,
9780762100507,Best-Loved Cat Stories,1,"Gathers stories by James Herriot, Lewis Carroll, Mark Twain, Rudyard Kipling, Saki, P.G. Wodehouse, Cleveland Amory, Paul Gallico, Patricia Highsmith, and Doris Lessing.",Leslie O'Mara,Reader's Digest Association,1998-01-01,310,English,Unknown,2024-06-24T14:05:20-06:00,
,Journal of Pragmatics,1,,,Interdisciplinary Journal of Language Studies,,105,,,,3782166
,"Chronik oder geschichtliche ortskundliche und statistische beschreibung des Kantons Bern, etc.",1,,Albert. Jahn,Historical Collection from the British LIbrary,,,German,,,
,"Journal of Language Aggression and Conflict, Volume 7",1,,,John Benjamins Publishing Company,2019,,,,,
,"Langauges in Contrast, Volume 19, Issue 2",1,,,John Benjamins Publishing Company,2019,,,,,
,"First Langauge, Volume 39, Issue 4, Number 139",1,,,Sage,2019,,,,,
,Discourse and Society,1,,,Sage,2019,,,,,
,Developmental Neuropsychology,1,,,Routelage,2019,,,,,
,"Social Semiotics, Volume 29, Number 4",1,,,Routelage,2019,,,,,
,"Social Semiotics, Volume 29, Number 5",1,,,Routelage,2019,,,,,
,"Linguistic Inquiry, Volume 50, Number 3",1,,,,2019,,,,,
,Annual Review of Applied Linguistics,1,,,University of Cambridge Press,2019,216,,,,
,Swahili Grammar (Including Intonation),1,,E. O. Ashton,Longmans,1963,398,,,,
,Great Dialogues of Plato,1,,Plato,Mentor,,525,,,,
